nohup: ignoring input

==========================================================================================
[RUN] Input representation: raw_1d
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/input_representation/raw_1d
==========================================================================================
[INFO] Device: cpu
[INFO] Input representation: raw_1d
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=186, best_score=0.845393, best_epoch=83
[stage1_soc] epoch 186 | VAL cls=0.9373 | SOC MedAPE(raw)=6.880% | SOH MedAPE(raw)=12.455% | val_score=0.792161
[stage2_soh] epoch 161 | VAL cls=0.9804 | SOC MedAPE(raw)=6.872% | SOH MedAPE(raw)=1.894% | val_score=-0.583014
[stage2_soh] epoch 162 | VAL cls=0.9824 | SOC MedAPE(raw)=7.526% | SOH MedAPE(raw)=2.151% | val_score=-0.580340
[stage2_soh] epoch 163 | VAL cls=0.9882 | SOC MedAPE(raw)=7.220% | SOH MedAPE(raw)=1.751% | val_score=-0.580219
[stage2_soh] epoch 164 | VAL cls=0.9843 | SOC MedAPE(raw)=7.201% | SOH MedAPE(raw)=1.753% | val_score=-0.554181
[stage2_soh] epoch 165 | VAL cls=0.9824 | SOC MedAPE(raw)=7.834% | SOH MedAPE(raw)=1.723% | val_score=-0.570570
[stage2_soh] epoch 166 | VAL cls=0.9843 | SOC MedAPE(raw)=7.824% | SOH MedAPE(raw)=1.796% | val_score=-0.581492
[stage2_soh] epoch 167 | VAL cls=0.9843 | SOC MedAPE(raw)=7.588% | SOH MedAPE(raw)=1.799% | val_score=-0.559859
[stage2_soh] epoch 168 | VAL cls=0.9863 | SOC MedAPE(raw)=7.646% | SOH MedAPE(raw)=1.869% | val_score=-0.573191
[stage2_soh] epoch 169 | VAL cls=0.9882 | SOC MedAPE(raw)=7.672% | SOH MedAPE(raw)=1.730% | val_score=-0.584756
[stage2_soh] epoch 170 | VAL cls=0.9804 | SOC MedAPE(raw)=7.106% | SOH MedAPE(raw)=1.881% | val_score=-0.558403
[stage2_soh] epoch 171 | VAL cls=0.9863 | SOC MedAPE(raw)=7.656% | SOH MedAPE(raw)=1.799% | val_score=-0.586750
[stage2_soh] epoch 172 | VAL cls=0.9843 | SOC MedAPE(raw)=6.911% | SOH MedAPE(raw)=1.906% | val_score=-0.566660
[stage2_soh] epoch 173 | VAL cls=0.9863 | SOC MedAPE(raw)=7.101% | SOH MedAPE(raw)=2.107% | val_score=-0.569309
[stage2_soh] epoch 174 | VAL cls=0.9804 | SOC MedAPE(raw)=7.536% | SOH MedAPE(raw)=1.767% | val_score=-0.569908
[stage2_soh] epoch 175 | VAL cls=0.9843 | SOC MedAPE(raw)=7.304% | SOH MedAPE(raw)=1.908% | val_score=-0.579966
[stage2_soh] epoch 176 | VAL cls=0.9863 | SOC MedAPE(raw)=7.299% | SOH MedAPE(raw)=1.846% | val_score=-0.570150
[stage2_soh] epoch 177 | VAL cls=0.9882 | SOC MedAPE(raw)=7.711% | SOH MedAPE(raw)=1.830% | val_score=-0.575707
[stage2_soh] epoch 178 | VAL cls=0.9824 | SOC MedAPE(raw)=7.878% | SOH MedAPE(raw)=1.684% | val_score=-0.581807
[stage2_soh] epoch 179 | VAL cls=0.9824 | SOC MedAPE(raw)=7.331% | SOH MedAPE(raw)=1.861% | val_score=-0.584821
[stage2_soh] epoch 180 | VAL cls=0.9804 | SOC MedAPE(raw)=5.462% | SOH MedAPE(raw)=2.156% | val_score=-0.575858
[stage2_soh] epoch 181 | VAL cls=0.9784 | SOC MedAPE(raw)=7.316% | SOH MedAPE(raw)=1.969% | val_score=-0.579935
[stage2_soh] epoch 182 | VAL cls=0.9843 | SOC MedAPE(raw)=7.264% | SOH MedAPE(raw)=1.890% | val_score=-0.564636
[stage2_soh] epoch 183 | VAL cls=0.9824 | SOC MedAPE(raw)=6.544% | SOH MedAPE(raw)=1.791% | val_score=-0.571727
[stage2_soh] epoch 184 | VAL cls=0.9784 | SOC MedAPE(raw)=7.869% | SOH MedAPE(raw)=1.781% | val_score=-0.581818
[stage2_soh] epoch 185 | VAL cls=0.9863 | SOC MedAPE(raw)=7.782% | SOH MedAPE(raw)=1.901% | val_score=-0.601547
[stage2_soh] epoch 186 | VAL cls=0.9804 | SOC MedAPE(raw)=7.590% | SOH MedAPE(raw)=1.786% | val_score=-0.576903
[stage2_soh] epoch 187 | VAL cls=0.9843 | SOC MedAPE(raw)=7.244% | SOH MedAPE(raw)=1.887% | val_score=-0.575768
[stage2_soh] epoch 188 | VAL cls=0.9765 | SOC MedAPE(raw)=7.033% | SOH MedAPE(raw)=1.814% | val_score=-0.584118
[stage2_soh] epoch 189 | VAL cls=0.9882 | SOC MedAPE(raw)=7.916% | SOH MedAPE(raw)=1.720% | val_score=-0.573056
[stage2_soh] epoch 190 | VAL cls=0.9863 | SOC MedAPE(raw)=7.774% | SOH MedAPE(raw)=1.956% | val_score=-0.585354
[stage2_soh] epoch 191 | VAL cls=0.9843 | SOC MedAPE(raw)=6.884% | SOH MedAPE(raw)=1.722% | val_score=-0.577017
[stage2_soh] epoch 192 | VAL cls=0.9882 | SOC MedAPE(raw)=7.441% | SOH MedAPE(raw)=1.927% | val_score=-0.566757
[stage2_soh] epoch 193 | VAL cls=0.9863 | SOC MedAPE(raw)=7.900% | SOH MedAPE(raw)=2.003% | val_score=-0.564043
[stage2_soh] epoch 194 | VAL cls=0.9824 | SOC MedAPE(raw)=7.797% | SOH MedAPE(raw)=1.779% | val_score=-0.588332
[stage2_soh] epoch 195 | VAL cls=0.9804 | SOC MedAPE(raw)=7.591% | SOH MedAPE(raw)=1.871% | val_score=-0.589320
[stage2_soh] epoch 196 | VAL cls=0.9843 | SOC MedAPE(raw)=7.535% | SOH MedAPE(raw)=1.733% | val_score=-0.565328
[stage2_soh] epoch 197 | VAL cls=0.9843 | SOC MedAPE(raw)=7.528% | SOH MedAPE(raw)=1.765% | val_score=-0.563037
[stage2_soh] epoch 198 | VAL cls=0.9784 | SOC MedAPE(raw)=7.577% | SOH MedAPE(raw)=1.652% | val_score=-0.574727
[stage2_soh] epoch 199 | VAL cls=0.9824 | SOC MedAPE(raw)=7.529% | SOH MedAPE(raw)=1.591% | val_score=-0.569948
[stage2_soh] Loaded BEST checkpoint from epoch=94 | score=-0.5468199644933703
[finetune] epoch 000 | VAL cls=0.9608 | SOC MedAPE(raw)=7.660% | SOH MedAPE(raw)=2.313% | val_score=0.851057
[finetune] epoch 001 | VAL cls=0.9392 | SOC MedAPE(raw)=8.261% | SOH MedAPE(raw)=2.360% | val_score=0.820650
[finetune] epoch 002 | VAL cls=0.9549 | SOC MedAPE(raw)=6.550% | SOH MedAPE(raw)=2.400% | val_score=0.840279
[finetune] epoch 003 | VAL cls=0.9922 | SOC MedAPE(raw)=7.074% | SOH MedAPE(raw)=2.082% | val_score=0.886417
[finetune] epoch 004 | VAL cls=0.9588 | SOC MedAPE(raw)=8.264% | SOH MedAPE(raw)=2.200% | val_score=0.842304
[finetune] epoch 005 | VAL cls=0.9824 | SOC MedAPE(raw)=5.840% | SOH MedAPE(raw)=2.036% | val_score=0.878535
[finetune] epoch 006 | VAL cls=0.9706 | SOC MedAPE(raw)=6.920% | SOH MedAPE(raw)=2.240% | val_score=0.865517
[finetune] epoch 007 | VAL cls=0.9686 | SOC MedAPE(raw)=8.236% | SOH MedAPE(raw)=1.895% | val_score=0.860879
[finetune] epoch 008 | VAL cls=0.9392 | SOC MedAPE(raw)=8.375% | SOH MedAPE(raw)=2.390% | val_score=0.826743
[finetune] epoch 009 | VAL cls=0.9706 | SOC MedAPE(raw)=7.930% | SOH MedAPE(raw)=2.028% | val_score=0.865707
[finetune] epoch 010 | VAL cls=0.9549 | SOC MedAPE(raw)=8.641% | SOH MedAPE(raw)=2.307% | val_score=0.842413
[finetune] epoch 011 | VAL cls=0.9784 | SOC MedAPE(raw)=6.898% | SOH MedAPE(raw)=2.114% | val_score=0.874477
[finetune] epoch 012 | VAL cls=0.9784 | SOC MedAPE(raw)=7.252% | SOH MedAPE(raw)=2.089% | val_score=0.872032
[finetune] epoch 013 | VAL cls=0.9706 | SOC MedAPE(raw)=7.064% | SOH MedAPE(raw)=2.032% | val_score=0.861704
[finetune] epoch 014 | VAL cls=0.9725 | SOC MedAPE(raw)=5.711% | SOH MedAPE(raw)=2.178% | val_score=0.865980
[finetune] epoch 015 | VAL cls=0.9333 | SOC MedAPE(raw)=7.180% | SOH MedAPE(raw)=2.175% | val_score=0.823215
[finetune] epoch 016 | VAL cls=0.9824 | SOC MedAPE(raw)=7.399% | SOH MedAPE(raw)=2.340% | val_score=0.876953
[finetune] epoch 017 | VAL cls=0.9627 | SOC MedAPE(raw)=7.185% | SOH MedAPE(raw)=2.101% | val_score=0.851664
[finetune] epoch 018 | VAL cls=0.9588 | SOC MedAPE(raw)=7.268% | SOH MedAPE(raw)=2.009% | val_score=0.850525
[finetune] epoch 019 | VAL cls=0.9745 | SOC MedAPE(raw)=6.719% | SOH MedAPE(raw)=2.387% | val_score=0.870811
[finetune] epoch 020 | VAL cls=0.9529 | SOC MedAPE(raw)=8.059% | SOH MedAPE(raw)=2.034% | val_score=0.836923
[finetune] epoch 021 | VAL cls=0.9412 | SOC MedAPE(raw)=7.354% | SOH MedAPE(raw)=2.260% | val_score=0.829089
[finetune] epoch 022 | VAL cls=0.9863 | SOC MedAPE(raw)=7.405% | SOH MedAPE(raw)=2.001% | val_score=0.874917
[finetune] epoch 023 | VAL cls=0.9863 | SOC MedAPE(raw)=8.055% | SOH MedAPE(raw)=2.287% | val_score=0.873668
[finetune] epoch 024 | VAL cls=0.9686 | SOC MedAPE(raw)=6.832% | SOH MedAPE(raw)=2.182% | val_score=0.865823
[finetune] epoch 025 | VAL cls=0.9588 | SOC MedAPE(raw)=7.838% | SOH MedAPE(raw)=1.981% | val_score=0.848117
[finetune] epoch 026 | VAL cls=0.9569 | SOC MedAPE(raw)=7.322% | SOH MedAPE(raw)=2.164% | val_score=0.852029
[finetune] epoch 027 | VAL cls=0.9176 | SOC MedAPE(raw)=6.875% | SOH MedAPE(raw)=2.415% | val_score=0.806666
[finetune] epoch 028 | VAL cls=0.9000 | SOC MedAPE(raw)=7.612% | SOH MedAPE(raw)=2.130% | val_score=0.787097
[finetune] epoch 029 | VAL cls=0.9196 | SOC MedAPE(raw)=6.691% | SOH MedAPE(raw)=2.102% | val_score=0.804375
[finetune] Loaded BEST checkpoint from epoch=3 | score=0.8864167921803173
[FINAL] Using BEST checkpoint from stage='finetune' | epoch=3 | score=0.8864167921803173
[FINAL] Stable test evaluation with n_mc_soc=500, n_mc_soh=500 | scheme=predicted_SOC_to_SOH

[FINAL METRICS]
input_representation: raw_1d
final_stage: finetune
test_cls_acc: 0.9109375
test_soc_rmse: 0.38840224411856866
test_soc_mae: 0.20156158783020145
test_soc_mape: 111.39595625310663
test_soc_medape: 13.571512463916905
test_soh_rmse: 0.6466086566887703
test_soh_mae: 0.41151540227247096
test_soh_mape: 194.99179817833064
test_soh_medape: 44.900808962567496
test_soc_rmse_raw: 8.634824942468558
test_soc_mae_raw: 4.481047811630252
test_soc_mape_raw: 11.005826050602689
test_soc_medape_raw: 5.246574445378818
test_soh_rmse_raw: 0.06789092628860662
test_soh_mae_raw: 0.04320721900844269
test_soh_mape_raw: 5.431985508179951
test_soh_medape_raw: 2.673325285064123
n_train: 68162
n_test: 1280
num_classes: 8
device: cpu
elapsed_sec: 19007.87876701355

==========================================================================================
[LOAD] Input representation: structured_3ch
[LOAD] Source: proposed further-analysis summary
[LOAD] Path: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/proposed_framework/further_analysis/tables/proposed_method_summary.csv
==========================================================================================
[LOAD] structured_3ch loaded from proposed further-analysis summary:
       /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/proposed_framework/further_analysis/tables/proposed_method_summary.csv
[LOAD] Using row: split == 'test'

[SUMMARY]
           config  ... soh_medape_change_pp_vs_structured
0          raw_1d  ...                            0.05809
1  structured_3ch  ...                            0.00000

[2 rows x 36 columns]
